address,attendees,attendeesCount,autoApproveGuests,availableTickets,bouncers,date,dateCreated,description,endDate,guestLimit,latitude,legalAgeOnly,longitude,looseAddress,name,paymentMethod,pending,queryableDisplayName,scans,specialLabel,university,user,verified,visibility
1212 third street promenade,[],0,FALSE,[],[],2022-10-14T03:30:00.000Z,2022-10-06T04:30:59.800060Z,"This event is invitation only. ⚠️
Follow this link to RSVP. 👇🏻

https://apps.apple.com/us/app/doubble/id1572234875

1. Download Doubble 🍀 
2. Have 3 friend on the app 🙋🏻‍♂️ 
3. Have fun 🥳

Hope to see you there! 🎉",2022-10-14T06:59:00.000Z,160,34.0177811,TRUE,-118.4991195,,-Doubble- VIP party 🍀,0,[],doubblevipparty,{},null,0,,null,private
625 landfair,"[""b1byHhJlJ3MWuV0KhNfwYyPv3zc2"",""GwPzVpYjCxc2M7NkaHMimzrtNSb2"",""99PjAIYj0IMgvCYjaSyOdmAg6h73"",""AbeFZ5HmejPQy3sUprI7z9j080K2"",""jVngfqxPwYavkH7QkexpQoIems72"",""oECAYwy1Z8My8t4quDRChDpE5RI2"",""MVzG6u1hNQhkZRvSI2lbXAOFFtA2"",""DT1FFFyGm1cuJxqEwUh9KWqt9Pn1"",""UsAvxlbrt7WGNpjt2TVuTWVGtf63"",""khDMsUboEVV1BLFoETGDwqNtq1E2"",""XFs2HD9zOUhmY6R5gur5SHguulu2"",""WGCKUHB8yZUn8P72DaI0ajji5Pk2"",""96kjVSe2hIZFwMx66l5wM9oHCgp2"",""u63HKmynJyc6I9VUEaIbvht0MYC3"",""4DK3VdhrdLNgG5UhAYj6oHlI3C43"",""MXNQtn6ts8N90OGx580Xa3MgowH3"",""KNk1stKMSCeRE8roKBKvI3cwqEt2"",""smzGYZSEeTXKUV1whDM71MRy2Wg1"",""g4CpLbuZ59N7aArmovpLCMflJ603"",""BLuvOjoexHfmmb5J8WIlUZjTG613"",""Signed out"",""4bgkSwsZKVVxrSwOI1PLxg0Yskz2"",""4KnFb0bLwlOqHNnM1yYyrzzeICi2"",""1JgAnYAipLdjc9UO2Ygv55tNS0g2"",""0h7a36wS9afVcN0Q52CTItMp2Nx1"",""7IsD1p18YeQn8ipIT1HmQYSgRst1"",""JkcAHU1y1ZTWr5OzbXkfbIHdNHh1"",""LGXYzdXzdUVtesPHRgWKDG8d9sh2"",""Emx20feIt7Sx91FLNsjPkSjI82T2"",""KgeExolANBRC6utbdsbovC3a4iW2"",""d70t0jqzuzP0WLCGbh6flvFnOk43"",""ULcZS3yVUJYJUvtzXNGn55w9Vpj1"",""shLenq5KSXNX95E6p9sl6sBgzUp2"",""ajXspzoQB0T0Mzgq6IceJenpmVu2"",""lX07g9I8NqdtCZY6FiJHj5WwNq83"",""QFk9d9mGn8WkZX3P6n1C8hAN35m1"",""VJzeir73W0XfpxfXEHj4bycoNop1"",""7SI5UI9LB1Olyx4swv3ikRNxKTB3"",""9az7E4sMUGh8KhCrmBrbHB6x6Ej1"",""MqRy3zX2okPD2ljFmcl3LEVlOwi1"",""t8h0RMnsiRY9BmWqbf65l3Fw4z23"",""rRf8xxiTXANBimiL6TjlxK8SMPh2"",""OLQRoXmTYCWX0ltIhg5z8cWBbuA3"",""z0FrSriEQDhHKe5xGCqPeEEGoli1"",""1vB81VsZUdR3E0gDOtuZNOVcSAz2"",""wpI51ZEQtpehYpkt6nDFgljmdqw2"",""0XLqacDxYGbVpW3sLXcHonql3gI3"",""EhfjKsO1LlTKelGB7c6wTssqTEz2"",""ZBG52JmlimdCDF66RGdGlvNOhS23"",""FnmBTsflfXbxlp6OBdxBcOoGcxi1"",""BjooucECcFZVL0kAieKKwlzeofq1"",""YR9JJVe4Y2ZgLpSoE6uM8IGDEqL2"",""cU7zonReTlVOqsWOYwR5hYEHpjP2"",""8cB4efYM9uTzT8HEcOqykVDJ9R12"",""B3cVHV1vmPZdNLG5RIe8zEjiQXX2"",""wwLXzQYj73TT8L6IeiA7ryBgNF02"",""wq9xZGBUyVg8CV9ZEFFbDiJSeCG2"",""4XOmEgMDQDcEgPcKDHmNNg0InXH3"",""PKcC3Kv4Olfvw02mA7FgQplD2fd2"",""SdKuWCSlUohTvDp8Y4EuzfiRBvu1"",""WwW8MneHHaejyOBij1yqwjtfpXI2"",""Q1EoTQ23DSZVz00TdKQnAqCv7Rn1"",""vR5r4hBlGMMWsZ1ut6M9yB13MYe2"",""IeI471nnCZbc9ssOzVlRMZ4S6jj2"",""dKqNRpmZsff3nV1x8D0GlyjCPBQ2"",""c4UPWol4AvfbD9vZvXkcdeuayMJ2"",""HhUGWYiezZUYwDolUKH1OyCVlLA3"",""Qy4edSPnuGVXF7ku9yivu01R0uI3"",""5zhbwGpvSnOJ2EOf8Cmn6CHRorb2"",""5AwTLndzg3VYHllAeIG41CvjDJq2"",""IU8NB5JaLqfSjL3s7YF4L5xtzzC2"",""2v4Zx5Tt9hatV5ukUIAIkL3F1it2"",""n2qGgPfQChMrGtsgCW1oV9mNnKT2"",""qiX2qQTSPUduBuvmIq7SSngyP0I3"",""mwwZti7qurhN9nvFyRuWPG2d3fz1"",""LPEA4zD8mMcr0pxB2jx6OfNojoB3"",""h4PgSEltN5OhyDhPN6IgSbclzdK2"",""pfSTOF35lEf3auCu5uK8t0GrLvt2"",""w4T4Jw0FcpbwuI8NVpiNdDmfm3h1"",""hwu2pyz7M5S531Q36bm8airmqH12"",""lwLBopBcmEdKn1mXsiAaKWnJx7s1"",""DeheHtlFZxVoUsfRBBuf6IzDoyl1"",""KOQU7QHgA0aQsRIAybAK6SbJlJG2"",""Pjb74JEv33Y2I0chPyta6p5xZGi1"",""qNr2X8cFbkOkf9K4ZiieBa4B2qq2"",""BbtOigIeAeWsBllc9By9j7LNqBN2"",""zdwuzqL0bBV83ImQtgatd5ADchy2"",""C9lNJBG7fBbzL1sQRq4Lx6LTyZt2"",""HSkxHCGH47Uir4aE8OEkRatTalx1"",""qVbS3Ku6kxX5LeOSqCqClY5h6KH2"",""G2xuFO7pq0fxeW7lOeFNofrBkU53"",""wvOIcjENvwTD6Vu8Ye2VB25Mmz92"",""hOqdjR1WX1QV27fMcbfDNwnlJV13"",""9LIhYiM5xZcvmBuWrriaaAQwCZz1"",""oGTp7uGi7Mabb8tAr2Lzm9TPQ813"",""bcPVOZ1rP1Ok19sqEWTsL69o4WZ2"",""OLLxl7MOsjhfryoVG04HwRfGBk02"",""3QeCrkRLX2RMyZcXKytOgGmmLbF3"",""vI114EiHKKXCELsGl2ZUsxG8wF63"",""McdkFHTmADS5y7Ew9n4iX23807l2"",""En7he1kp5wemgWNSDW8u1xcmmZM2"",""18yu0eCOHEUD9sfftnlOaG2zmdi2"",""Sx54OcOi3ngTAcRLVV4ZZyhdG4y1"",""7DfiWzJfSXRFtMY5b7E0YFsqvag1"",""BJvPHWwtjbS0Qvl7HvgwGHciTx52"",""nHhPasbOYhfMlRs3NnjnwFP475X2"",""TxXCdzT3qYOTIdCJ2RrPF6w4psF2"",""En7hIfoWetSzpSRTvxONFJSejdI2"",""U5wkCPofe9MhcQEEL8sQC8N4WL32"",""ZPPhT52Bg2Um5siV9eISUReYdLy2"",""jODzWfDcRjgnsahTcNRZiOG94b22"",""HpQp8xNXRSdnXBXvjfw5VknNwon1"",""3ERfieLyhFgZdyMizyT8TcYVRfJ2"",""X1CXawGAFpVx2lPwIueop26epzs1"",""MXihgJdeuCTOpPnsPgSx3NGjswl2"",""ktHVG0UPydgReaQQOWPawfMURpq1"",""kKYJBKvhnMQ5MoTfmKYaKO6fAKM2"",""waWV74P3aBg0AuufKq24kp6EzNA2"",""EtcnXJRpF1R8RqWutR8EyL5rqSi1"",""thCU3L1VihfIJ6ed1ofMLS1kGG63"",""JvjDvYGcBEcEiGsrVpaIRqKQFym2"",""8fROx2KPL5SrnkGLcTbUDbECeoB3"",""uEHGRFoubyPNM67gB8dtOmlJ8JK2"",""Guest"",""SVTWnCczfRUvaJOOv07EnnVbBfh1"",""jSz5mIRG2Seq90A5CPKV140W6Zy2"",""MsaAmZbKJQOfbAUGdIyEQNYj6oj2"",""j8CajTGie4XF7ZhXzYXICbMtCrN2"",""DMgvkPXYvug2OE6wk2bX2tiyGQ52"",""zRiV0aZ5yjNWFA8bma6U8Ppll6r1"",""Gc7O2TVOEbVrGVYOkFnfLi75ksW2"",""4XwiPfpPs6bQuv5kAVnAzfk6T6f1"",""kH8hO0nZgOeaZ3oNjdu2S8peD7Q2"",""YdUhpSRBAlWQk7xYMMkUrYjP5BO2"",""MLDTJfYbs2ZHCIXYe11g6j5SO1T2"",""YI9jZ5MdgHemFCQmBsx16KFZNCj2"",""r7RrOcziyhMw01j1UEGoEBVEPxr1"",""pgK960t3V2dKyaptdZI1AZlLo4z2"",""BlbGX34x8ucNf7LsXMhYPKBMcRT2"",""lno1kCjFrtRfnG0odsi7a6g5KCS2"",""BVAXkAd3lPbGQPsIyEvXqHKOwSn2"",""3dlYJHd2CyUIw83YpFzdh1tpgL32"",""m44HtCjmLDQV1uFe4akPFTrPTBd2"",""2I1aKK7FECbT0rNtlR3YsUlaafz2"",""VBix34yPjwdkAi8tWIryrsC7lsw2"",""DnWMdx5mQ9b6yZaSHHfkM9Gw7mG2"",""7y1d8YZU0YR16BmalXG2oRUiSEN2"",""clXOq9ZbmvTVCcA4hbgxDLTxlbu2"",""5yCXc0syJmV8cUe0YdvcxqF49kr2"",""iZDGzCDJxIbmOt9BmfURDH8e7oG3"",""brWO9jmQ8YW3dg72KFA01bKIbKW2"",""m4IueDxoLjZg3FJWD6Oz2x0sQEu1"",""PwijonUcwGSxvY8eEvJkWMOYkQE3"",""huG8Dy7zVONySzn8qRFI6DusBu93"",""zLsPIpfSwbbve9vpB1NYSLfllKf1"",""VKdaoqdB5rPfVVpGvz2Q5g2GlPh1"",""jrE0qaR825bTJigNZbplb4212dQ2"",""EqhF786YGpessIhnRQ2IEH6GTcn2"",""dIv7PqO7THTi15SloJzhqoYaUEt2"",""tOLPLrbm95MzkuwGUfz68HOYnt42"",""cYwkk2GQtSSmQUj1SHyUi9Zg9Ww2"",""syOABOPujJfUHleLajBdfmplpr13"",""HQTmhA8QHoZBkqoyktSgSPgXREJ2"",""hp1pFJnL5ZMi8bOIMuidCme9iXM2"",""gWgh29FSvvMlE5qJgJ7y6BRQesq2"",""8bCoi6MMWCa6duvY2Gmbxj7Optv1"",""mUGAiuqZ58agF92VkQbrdYRxE583"",""alOMWy295PbQeZSgZSZt6V1wQyi2"",""mUBxOyNfMQZifhM8y4BjbtuB8pA2"",""rYeg3qktmgOzzwC93hL5jsviWg63"",""KJ3Uku81uhVD6sFCQuO3PbpiF3u2"",""L7vP4txkZGVUHoafh55ea43KGMo2"",""Lt3nAl3ne8TGdr43vHJLVUmypkI2"",""be3JHO0DkTVPCNK2UBsHnfsDBl63"",""WPJrobCf5ne9VaNSAwp8Zvfe6wG2"",""yxKM8CPQnqSyVNzLYYotFibSTY23"",""LBdiOd4ngfga6raMqxgbSJtknYn1"",""RLfgIIZAd6fyXUn8k8qZwr0sV1q2"",""MnASn0CQaTeeegB6Txd72ZtjDvr1"",""SLbgfwdK0rNfUJcTXf5ODEvofv53"",""WDXHza4V7zbtzOejeyGT2DO3Emw2"",""tkXk9XG0PJSnedh9Uq9gzLs2qMs2"",""3EkX6jyIMXbwiZxIgsm1JbmFJN63"",""vMUcG7OnS3THrlONJXETNraERWM2"",""63R07acxzVNhjcF4DOjfmMulGmI3"",""gOJNwp5snQdY6MXfXhAfK6MqgC63"",""gyaUcy7MnQgE4zT5B8v1HABoiJR2"",""NcYCd6KiBcZE2rDhjGHPiQ9zmlD2"",""SCtY7EFe7JRXC4AOhecGlnelxbI2"",""2KmQsFuufqYQDBdIAVEOYSKF7K72"",""jXUpD6PGt7gaMxW4Ld4mbUWf4Fp2"",""eOy5aa0bBvYXQpZlgCSTeBJpXbv1"",""prfM8c9pLbgjAwjSiFkoVNrwvAx2"",""1th6pH54M2RrVILW2ZkZZLb4PTE3""]",194,TRUE,[],"[""99PjAIYj0IMgvCYjaSyOdmAg6h73"",""XFs2HD9zOUhmY6R5gur5SHguulu2""]",2022-10-12T02:00:00.000Z,2022-10-07T19:10:25.365267Z,"CALLING ALL PERSIANS (& non-Persians)—join the Iranian Student Group Tuesday night and nourish your body with some delish AASH soup, accompanied by fellow Iranians, a rooftop view, and great tunes! 

You do not want to miss out. See you soon!",2022-10-12T04:00:00.000Z,150,34.0665735,FALSE,-118.4490369,,ISG’s AASH NIGHT🇮🇷🍲,0,[],isgsaashnight,"{""0CFE4575-016C-47BC-81ED-C56E1E3CCBF4"":[{""__time__"":""2022-10-12T02:00:39.103456Z""}],""0DA7E0DA-8264-43D9-9FBA-544E3E265074"":[{""__time__"":""2022-10-12T01:46:16.513298Z""}],""36488895-1793-466C-87B5-96E9FAAE139E"":[{""__time__"":""2022-10-12T02:05:52.690603Z""}],""373B3E0D-A09D-4527-90B5-E1718AB1056F"":[{""__time__"":""2022-10-12T02:51:57.333065Z""}],""3EE9B64F-CC66-45E4-8538-E637789FF736"":[{""__time__"":""2022-10-12T01:57:21.562469Z""}],""47D7E9FC-EF47-4AF8-BD79-DC84EED3EFD9"":[{""__time__"":""2022-10-12T02:52:48.615787Z""}],""58CAEADD-48D2-4C90-AD2B-4DAA5E7034FE"":[{""__time__"":""2022-10-12T02:19:50.052505Z""}],""6563D307-9EBB-4FAD-9D7A-AA31138C206A"":[{""__time__"":""2022-10-12T02:20:33.650485Z""}],""6C45BBCF-3302-4DAE-8E0D-DB24BE4542F6"":[{""__time__"":""2022-10-12T02:19:46.219993Z""}],""891F8514-A629-43D6-836D-4E156EC5C988"":[{""__time__"":""2022-10-12T02:19:05.215708Z""}],""90E85148-87C1-469A-BF27-9597814B7D25"":[{""__time__"":""2022-10-12T02:20:39.821614Z""}],""9A2AAF08-DC98-4264-9064-902EE05BFE12"":[{""__time__"":""2022-10-12T02:43:17.960190Z""}],""9DDED23D-50AC-4D96-AC53-8EA6371694BC"":[{""__time__"":""2022-10-12T02:18:53.793456Z""}],""9F098895-3EBD-4C19-8B8D-FBEB42932659"":[{""__time__"":""2022-10-12T02:17:26.931262Z""},{""__time__"":""2022-10-12T02:52:16.811146Z""}],""A6F4E5D6-B95E-4E08-AA93-4A22893AF174"":[{""__time__"":""2022-10-12T02:20:44.539762Z""}],""A8D2854A-BA48-45F2-8F15-698B1F7EE4DE"":[{""__time__"":""2022-10-12T02:35:20.857012Z""}],""BAD52F17-2E9C-49A9-9C79-EEE60A341CBE"":[{""__time__"":""2022-10-12T02:18:49.411942Z""}],""C0E450F9-727C-42CD-836F-30E517991DB1"":[{""__time__"":""2022-10-12T02:18:59.870527Z""}],""C67CA854-6E2B-4B08-9639-E42452414238"":[{""__time__"":""2022-10-12T01:57:42.026987Z""}],""D78CCC4B-7977-4D0E-BA02-678A68D191B7"":[{""__time__"":""2022-10-12T01:57:45.553678Z""}],""E87C3977-D127-4021-B0F4-B29B169AD6F8"":[{""__time__"":""2022-10-12T02:52:09.204123Z""}],""F4CC67C0-C7DA-4522-BEEC-1DA11123993C"":[{""__time__"":""2022-10-12T02:29:53.847841Z""}],""FCF4F61E-AEB7-44D5-9333-7E84D8CC939F"":[{""__time__"":""2022-10-12T02:50:57.947849Z""}]}",null,0,,TRUE,public
